,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
41,C,14.0,9932.0,2002-05-01 05:49:00, A  ,9932,H,S,X,1.0,1.0,50.0,Associated
42,C,24.0,9932.0,2002-05-01 05:49:00, A  ,9932,H,S,X,1.0,1.0,50.0,Associated
43,C,22.0,9961.0,2002-05-19 09:25:00, B  ,9961,C,S,O,3.0,6.0,60.0,Associated
44,C,15.0,9977.0,2002-06-01 00:50:00, B  ,9977,D,S,O,3.0,3.0,30.0,Associated
45,C,19.0,10037.0,2002-07-16 14:30:00, A  ,10037,H,S,X,1.0,2.0,180.0,Associated
46,C,23.0,10069.0,2002-08-11 11:25:00, B  ,10069,E,K,O,4.0,11.0,430.0,Associated
49,C,40.0,10107.0,2002-09-08 12:10:00, B  ,10107,C,S,O,6.0,7.0,50.0,Associated
50,C,45.0,10114.0,2002-09-14 12:40:00, BG ,10114,D,K,C,40.0,10.0,550.0,Associated
51,C,25.0,10220.0,2002-12-08 15:25:00, B  ,10220,C,S,O,5.0,5.0,30.0,Associated
52,C,13.0,10276.0,2003-02-01 12:11:00, B  ,10276,D,S,O,8.0,9.0,160.0,Associated
53,C,10.0,10276.0,2003-02-01 12:11:00, B  ,10276,D,S,O,8.0,9.0,160.0,Associated
54,C,99.0,10276.0,2003-02-01 12:11:00, B  ,10276,D,S,O,8.0,9.0,160.0,Associated
55,C,14.0,10278.0,2003-02-04 16:40:00, B  ,10278,D,S,O,6.0,9.0,80.0,Associated
56,C,16.0,10277.0,2003-02-04 16:40:00, B  ,10277,B,X,O,2.0,1.0,10.0,Associated
58,C,44.0,10339.0,2003-04-20 13:17:00, B  ,10339,C,S,O,6.0,5.0,20.0,Associated
60,C,10.0,10424.0,2003-08-01 14:30:00, B  ,10424,D,A,O,2.0,6.0,120.0,Associated
61,C,26.0,10424.0,2003-08-01 14:30:00, B  ,10424,D,A,O,2.0,6.0,120.0,Associated
62,C,10.0,10449.0,2003-08-28 01:15:00, B  ,10449,C,A,O,2.0,3.0,60.0,Associated
63,C,20.0,10484.0,2003-10-18 00:37:00, B  ,10484,B,X,I,10.0,1.0,210.0,Associated
68,C,11.0,10540.0,2004-01-12 16:15:00, A  ,10540,H,H,X,6.0,6.0,60.0,Associated
69,C,10.0,10554.0,2004-02-08 01:00:00, B  ,10554,C,A,O,3.0,6.0,180.0,Associated
70,C,10.0,10554.0,2004-02-08 01:00:00, B  ,10554,C,A,O,3.0,6.0,180.0,Associated
71,C,14.0,10554.0,2004-02-08 01:00:00, B  ,10554,C,A,O,3.0,6.0,180.0,Associated
72,C,13.0,10554.0,2004-02-08 01:00:00, B  ,10554,C,A,O,3.0,6.0,180.0,Associated
73,C,27.0,10578.0,2004-03-18 14:30:00, A  ,10578,H,A,X,2.0,2.0,60.0,Associated
74,C,37.0,10578.0,2004-03-18 14:30:00, A  ,10578,H,A,X,2.0,2.0,60.0,Associated
75,C,12.0,10578.0,2004-03-18 14:30:00, A  ,10578,H,A,X,2.0,2.0,60.0,Associated
77,C,32.0,10582.0,2004-03-25 00:55:00, A  ,10582,H,S,X,1.0,2.0,60.0,Associated
79,C,61.0,10582.0,2004-03-25 00:55:00, A  ,10582,H,S,X,1.0,2.0,60.0,Associated
80,C,25.0,10618.0,2004-05-20 00:30:00, B  ,10618,B,X,O,5.0,2.0,30.0,Associated
81,C,11.0,10618.0,2004-05-20 00:30:00, B  ,10618,B,X,O,5.0,2.0,30.0,Associated
83,C,32.0,10649.0,2004-07-12 14:16:00, B  ,10649,C,A,O,4.0,10.0,90.0,Associated
84,C,45.0,10649.0,2004-07-12 14:16:00, B  ,10649,C,A,O,4.0,10.0,90.0,Associated
85,C,17.0,10649.0,2004-07-12 14:16:00, B  ,10649,C,A,O,4.0,10.0,90.0,Associated
86,C,25.0,10649.0,2004-07-12 14:16:00, B  ,10649,C,A,O,4.0,10.0,90.0,Associated
87,C,59.0,10706.0,2004-11-24 00:44:00, A  ,10706,H,A,X,1.0,1.0,60.0,Associated
88,C,72.0,10715.0,2004-12-28 11:17:00, B  ,10715,D,A,O,2.0,3.0,60.0,Associated
89,C,10.0,10719.0,2005-01-08 15:25:00, A  ,10719,H,A,X,1.0,2.0,60.0,Associated
90,C,12.0,10732.0,2005-02-06 08:10:00, B  ,10732,B,X,O,2.0,4.0,30.0,Associated
91,C,37.0,10733.0,2005-02-07 17:30:00, A  ,10733,H,A,X,1.0,1.0,180.0,Associated
92,C,27.0,10745.0,2005-03-21 15:26:00, B  ,10745,B,X,O,2.0,2.0,40.0,Associated
