,index,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Date_x,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date_y,Status
57,11679, B  ,8934,C,R,O,3.0,4.0,10.0,2000-03-30 08:28:00,,,,,,Unassociated
58,11489, A  ,8929,H,S,X,1.0,1.0,10.0,2000-04-02 01:30:00,,,,,,Unassociated
59,12765, B  ,8942,C,A,O,14.0,6.0,50.0,2000-04-02 15:30:00,,,,,,Unassociated
60,14286, B  ,8950,B,X,O,2.0,8.0,10.0,2000-04-06 12:51:00,,,,,,Unassociated
61,11604, A  ,8932,A,X,X,1.0,1.0,20.0,2000-04-07 14:33:00,,,,,,Unassociated
62,12793, A  ,8943,A,X,X,1.0,2.0,30.0,2000-04-08 05:27:00,,,,,,Unassociated
63,14333, A  ,8952,H,S,X,1.0,1.0,10.0,2000-04-09 01:15:00,,,,,,Unassociated
64,12848, B  ,8945,C,S,O,2.0,2.0,20.0,2000-04-09 01:15:00,,,,,,Unassociated
65,12822, A  ,8944,A,X,X,2.0,1.0,10.0,2000-04-09 12:12:00,,,,,,Unassociated
66,15114, B  ,8954,B,X,O,4.0,6.0,20.0,2000-04-13 15:28:00,,,,,,Unassociated
67,15128, B  ,8956,B,X,O,9.0,7.0,20.0,2000-04-16 01:00:00,,,,,,Unassociated
68,15170, A  ,8960,H,S,X,1.0,1.0,20.0,2000-04-17 15:47:00,,,,,,Unassociated
69,15156, A  ,8961,A,X,X,2.0,2.0,60.0,2000-04-17 15:47:00,,,,,,Unassociated
70,14285, A  ,8949,H,S,X,1.0,2.0,60.0,2000-04-18 01:47:00,,,,,,Unassociated
71,14328, A  ,8951,H,S,X,1.0,1.0,30.0,2000-04-19 17:30:00,,,,,,Unassociated
72,14362, A  ,8953,A,X,X,2.0,2.0,20.0,2000-04-20 15:06:00,,,,,,Unassociated
73,15152, B  ,8958,C,S,O,5.0,3.0,50.0,2000-04-22 01:05:00,,,,,,Unassociated
74,15854, A  ,8962,H,S,X,1.0,1.0,20.0,2000-04-24 05:26:00,,,,,,Unassociated
75,17927, B  ,8973,B,X,O,2.0,5.0,30.0,2000-04-28 01:20:00,,,,,,Unassociated
76,16468, B  ,8968,B,X,O,3.0,5.0,30.0,2000-04-28 01:20:00,,,,,,Unassociated
77,18040, B  ,8978,B,X,O,2.0,8.0,10.0,2000-05-05 11:34:00,,,,,,Unassociated
78,18168, B  ,8985,B,X,O,4.0,3.0,20.0,2000-05-06 01:00:00,,,,,,Unassociated
79,18100, A  ,8981,A,X,X,2.0,1.0,10.0,2000-05-07 14:55:00,,,,,,Unassociated
80,18165, B  ,8984,B,X,O,3.0,3.0,10.0,2000-05-07 14:55:00,,,,,,Unassociated
81,18076, A  ,8980,A,X,X,2.0,1.0,10.0,2000-05-09 11:15:00,,,,,,Unassociated
82,18197, B  ,8987,C,R,O,2.0,4.0,10.0,2000-05-10 08:16:00,,,,,,Unassociated
83,18189, B  ,8986,D,A,I,18.0,7.0,180.0,2000-05-11 01:47:00,,,,,,Unassociated
84,21864, B  ,9000,B,X,O,2.0,2.0,10.0,2000-05-15 01:25:00,,,,,,Unassociated
85,23676, B  ,9005,B,X,O,3.0,2.0,10.0,2000-05-16 02:00:00,,,,,,Unassociated
86,23677, B  ,9001,C,S,O,3.0,3.0,20.0,2000-05-16 02:00:00,,,,,,Unassociated
87,18803, A  ,8992,A,X,X,1.0,1.0,10.0,2000-05-17 15:15:00,,,,,,Unassociated
88,23680, A  ,9008,A,X,X,1.0,1.0,10.0,2000-05-17 15:15:00,,,,,,Unassociated
89,18813, A  ,8994,A,X,X,1.0,1.0,20.0,2000-05-17 15:15:00,,,,,,Unassociated
90,18835, B  ,8997,B,X,O,3.0,6.0,10.0,2000-05-18 01:15:00,,,,,,Unassociated
91,23679, B  ,9007,C,R,O,2.0,2.0,10.0,2000-05-18 01:15:00,,,,,,Unassociated
92,21878, B  ,9003,B,X,O,6.0,7.0,10.0,2000-05-18 12:53:00,,,,,,Unassociated
93,23807, B  ,9012,B,X,O,3.0,2.0,10.0,2000-05-21 01:15:00,,,,,,Unassociated
94,23808, B  ,9013,C,S,O,2.0,3.0,40.0,2000-05-22 06:42:00,,,,,,Unassociated
95,23714, B  ,9009,B,X,O,3.0,5.0,10.0,2000-05-26 14:25:00,,,,,,Unassociated
96,23834, A  ,9016,A,X,X,1.0,1.0,10.0,2000-05-27 16:42:00,,,,,,Unassociated
97,24258, A  ,9021,A,X,X,3.0,2.0,10.0,2000-05-30 07:25:00,,,,,,Unassociated
98,24251, B  ,9020,C,R,O,3.0,4.0,10.0,2000-05-30 07:25:00,,,,,,Unassociated
99,24237, B  ,9018,B,X,O,2.0,3.0,10.0,2000-05-31 12:56:00,,,,,,Unassociated
100,24299, B  ,9025,C,R,O,2.0,7.0,30.0,2000-06-01 07:15:00,,,,,,Unassociated
101,24280, A  ,9022,A,X,X,1.0,1.0,10.0,2000-06-02 19:07:00,,,,,,Unassociated
102,24297, B  ,9023,B,X,O,5.0,5.0,20.0,2000-06-03 01:50:00,,,,,,Unassociated
103,26641, B  ,9027,B,X,O,3.0,2.0,10.0,2000-06-03 01:50:00,,,,,,Unassociated
104,26868, B  ,9029,C,R,O,3.0,3.0,30.0,2000-06-04 00:46:00,,,,,,Unassociated
105,27746, B  ,9032,B,X,O,3.0,10.0,10.0,2000-06-14 12:31:00,,,,,,Unassociated
106,29519, B  ,9043,B,X,O,2.0,2.0,10.0,2000-06-14 14:42:00,,,,,,Unassociated
107,27982, B  ,9038,C,R,O,3.0,1.0,30.0,2000-06-16 00:59:00,,,,,,Unassociated
108,30020, B  ,9044,C,S,O,3.0,3.0,120.0,2000-06-17 05:43:00,,,,,,Unassociated
109,27807, A  ,9035,H,S,X,1.0,1.0,60.0,2000-06-17 13:05:00,,,,,,Unassociated
110,27963, A  ,9037,H,R,X,1.0,1.0,10.0,2000-06-18 07:15:00,,,,,,Unassociated
111,29905, B  ,9047,B,X,O,4.0,3.0,10.0,2000-06-18 12:30:00,,,,,,Unassociated
112,29526, B  ,9045,B,X,O,3.0,3.0,10.0,2000-06-18 15:14:00,,,,,,Unassociated
